,listing_id,name,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating
92,5904732,Lg sunny room w/private entrance,42.3140648,-71.09905546,House,2,2.5,1.0,1.0,93.0
93,3591359,Spacious 2 bedroom apartment (free parking),42.32566812,-71.10543389,Apartment,4,1.0,2.0,2.0,95.0
94,2538536,Beautiful bright corner unit!ioc,42.32487447,-71.10556705,Apartment,3,1.0,1.0,1.0,95.0
95,4975581,Clean Apartment in Boston,42.32038119,-71.11270173,Apartment,6,1.0,2.0,2.0,94.0
96,4767023,Stay in Boston's top neighborhood,42.32327561,-71.10705882,House,5,2.0,3.0,4.0,87.0
97,6364042,Bright room with queen sized bed,42.31362383,-71.09821201,House,2,2.5,1.0,1.0,92.0
98,7986179,Spacious home in Jamaica Plain,42.32157794,-71.11411533,Apartment,2,1.0,1.0,1.0,92.0
100,1109224,4 bedroom Victorian Condo unit,42.32051086,-71.11215759,Apartment,8,2.0,4.0,6.0,91.0
101,1067184,Lovely bedroom/use of whole apt.,42.30633269,-71.11902459999999,Apartment,2,1.0,1.0,1.0,95.0
104,1301500,Stay in Boston's best neighborhood!,42.30997683,-71.10962021,Apartment,2,1.0,1.0,1.0,100.0
105,8923817,"Elegant studio,kitchn, soaking tub",42.3090739,-71.11254191,House,2,1.0,1.0,1.0,93.0
106,14057466,Priv apt w/2 Beds 1 bath close to Medical/Downtown,42.31357234,-71.11381933,Apartment,4,1.0,2.0,2.0,90.0
108,5521378,"Cozy bedroom near train, bus, parks",42.31169374,-71.10116459999999,Apartment,2,1.0,1.0,1.0,97.0
109,13041602,Quiet & Sunny Room Near Subway,42.29985744,-71.11235604,Townhouse,2,1.0,1.0,1.0,96.0
110,2621242,Lovely one bedroom Apt,42.31842255,-71.10550531,Apartment,2,1.0,1.0,1.0,97.0
111,950046,Spacious Apartment in Jamaica Plain,42.31185272,-71.10926319,Apartment,6,2.0,3.0,3.0,90.0
112,3342094,Pondside Paradise with Piano,42.31737019,-71.11485899,Apartment,6,1.0,2.0,2.0,97.0
113,5652147,"Convenient, Sunny 3b/2bth w/Parking",42.30704885,-71.11662413,House,7,2.0,3.0,4.0,93.0
114,14105971,Tranquil Treetop Loft,42.30906285,-71.11141973,Apartment,2,1.0,0.0,1.0,100.0
115,2875267,"Historic Carriage House, a peaceful city oasis",42.30883694,-71.11935092,Apartment,2,1.0,0.0,1.0,99.0
116,9485607,"Large, sunny, cozy home w/character",42.31923483,-71.10501594,House,6,2.0,2.0,2.0,96.0
117,7273770,Boston 2 bedroom top floor condo w/balcony!,42.30606394,-71.11516054,Condominium,4,1.0,2.0,2.0,90.0
118,5405928,Charming 2BD Across from Arboretum,42.3039816,-71.11848461,Apartment,4,1.0,2.0,2.0,92.0
