,listing_id,name,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,City
3033,3441402,Private Cozy Cabin w/Kitchen & Bath,47.71705326881332,-122.3028379909811,House,3,1.0,0.0,1.0,95.0,Seattle
3034,921571,Sunny guest room,47.70487880304511,-122.30958246961204,House,2,1.0,1.0,1.0,91.0,Seattle
3035,5205984,"Northgate - Large, Private, Comfy",47.71258579676071,-122.31070411655651,House,2,1.0,1.0,1.0,100.0,Seattle
3036,5352741,Spacious bedroom near UW & parking,47.71654755940993,-122.29819480963484,Apartment,1,1.0,1.0,1.0,100.0,Seattle
3037,1461971,Charming Natural Home in N. Seattle,47.71230538533762,-122.31148570628149,House,4,1.0,2.0,2.0,93.0,Seattle
3038,6690388,"Cheerful, quiet cottage",47.701977263001154,-122.30506696793907,House,2,1.0,1.0,1.0,100.0,Seattle
3039,1190571,A Quiet Room in a House by the Lake,47.694971832165095,-122.27748148373449,House,2,1.0,1.0,1.0,89.0,Seattle
3040,231097,Peaceful NE Seattle guest room,47.70638974062461,-122.28074562168604,House,2,1.0,1.0,1.0,98.0,Seattle
3042,3703121,Charming Home with spacious deck...,47.694546851930355,-122.27658625317308,House,4,1.0,2.0,2.0,98.0,Seattle
3043,3004007,Matthews Beach Seattle ,47.69333124289886,-122.27430912483645,House,4,1.0,2.0,2.0,99.0,Seattle
3044,3870937,Urban Cottage by the Lake ,47.70245476952103,-122.2764194797343,House,4,1.0,1.0,2.0,97.0,Seattle
3045,3242247,Mathew's Beach -  Sunny Guest Suite,47.702493452134206,-122.277430350748,House,2,1.0,1.0,1.0,95.0,Seattle
3046,6350606,Spacious 1 BR house near UW & lake,47.69816976774293,-122.27530868859735,House,2,1.0,1.0,1.0,100.0,Seattle
3049,6741526,Mathews Beach House,47.695233947775364,-122.27264663470731,House,8,2.5,4.0,4.0,95.0,Seattle
3050,6101613,Charming Seattle Lake View House,47.71691760120692,-122.28316937676188,House,8,1.5,3.0,3.0,90.0,Seattle
3051,1190224,A Quiet Room in a House by the Lake,47.69424173749816,-122.27724644053696,House,2,1.0,1.0,1.0,94.0,Seattle
3052,8704931,Mathews Beach Mother in Law Suite,47.704399308759825,-122.28911850769951,Apartment,4,1.0,1.0,2.0,100.0,Seattle
3054,9432497,Be at Home in Seattle,47.69902653627107,-122.28452741869455,House,2,1.0,1.0,1.0,88.0,Seattle
3055,7931111,"peaceful, cozy M-I-L apt.by Lake WA",47.69516920833032,-122.27521016844574,Apartment,2,1.0,1.0,1.0,100.0,Seattle
3056,5031357,NE Seattle Private Entry Studio!,47.70648991889953,-122.27916445218578,House,3,1.0,1.0,1.0,80.0,Seattle
3057,6603376,Architectural Retreat near U of W,47.701091347564564,-122.27530629259206,House,10,2.5,3.0,4.0,99.0,Seattle
3058,3861673,"Detached bedroom, bath in Ballard",47.68402967400614,-122.37408622258336,House,2,1.0,1.0,1.0,99.0,Seattle
3059,461234,Browns House Guest Apt. in Ballard,47.68394088128874,-122.37304553256494,Apartment,2,1.0,1.0,1.0,96.0,Seattle
3060,3510818,Charming 1940 Ballard House,47.67959073237747,-122.37001012252031,House,2,1.0,1.0,1.0,98.0,Seattle
3061,6245498,Quaint Ballard Bungalow,47.68073450285213,-122.37183835130143,House,3,1.0,2.0,2.0,92.0,Seattle
3062,6557018,Open Modern Suite w/ Loft - Ballard,47.68514928756054,-122.37637643633059,Loft,4,1.0,2.0,2.0,92.0,Seattle
3064,7873789,"Piano, 2 bedrooms, REAL BEDS!!",47.683094029694615,-122.3713839227005,House,6,1.0,2.0,4.0,98.0,Seattle
3065,6691873,Cozy Basement Apartment in Ballard,47.68854019098801,-122.36681160099278,Apartment,2,1.0,1.0,1.0,95.0,Seattle
3066,7638689,Hummingbird House in Ballard,47.68366488063717,-122.37085780739044,House,6,1.0,2.0,4.0,95.0,Seattle
3067,5968862,Charming Craftsman in Ballard,47.68702260912776,-122.37321146395635,House,4,2.0,2.0,2.0,100.0,Seattle
3068,260613,Modern & New MIL Apt. in N. Ballard,47.68648952758726,-122.36846188385236,Apartment,2,1.0,1.0,1.0,98.0,Seattle
3069,4718820,"Large room, bed, desk, shared bath",47.69024708352696,-122.3696288817652,House,1,1.0,1.0,1.0,97.0,Seattle
3071,1023693,Cozy Hip Vintage MIL Apt in Ballard,47.677208647625505,-122.36969568655506,Apartment,2,1.0,1.0,1.0,98.0,Seattle
3072,4438871,daylight basement room,47.67685555853757,-122.36711708325348,House,2,1.0,1.0,1.0,94.0,Seattle
3073,4438160,Bright Ballard Home,47.676632376022994,-122.36679241991379,House,3,2.0,2.0,2.0,96.0,Seattle
3074,7870538,Modern Townhouse + Studio w/ Loft,47.68713311470204,-122.37630760672914,House,8,2.5,3.0,3.0,100.0,Seattle
3075,6153532,Industrial Chic Ensuite Cottage,47.68800610296523,-122.36955980039434,House,2,1.0,1.0,1.0,99.0,Seattle
3076,488268,Ballard dog-friendly private space,47.6889170459261,-122.37586424609677,House,2,1.0,1.0,1.0,94.0,Seattle
3077,6375415,Beautiful Townhouse in Ballard,47.67763444114481,-122.37543330985363,House,7,2.5,3.0,5.0,97.0,Seattle
3078,4429898,Dog Friendly Mother n law n Ballard,47.67991670225664,-122.36710691527672,Apartment,3,1.0,2.0,1.0,94.0,Seattle
3079,5991139,Adorable Mother-in-Law Cottage,47.68345242212878,-122.37618020171396,Apartment,2,1.0,0.0,1.0,95.0,Seattle
3080,6130287,"Great Location, Friendly and Clean!",47.677285718456076,-122.3746312338498,Apartment,2,1.0,1.0,1.0,100.0,Seattle
3081,1623894,Ballard Backyard Cottage,47.67909006600589,-122.36967468550469,House,4,1.0,1.0,2.0,99.0,Seattle
3082,6453383,Private Floor in Ballard Craftsman,47.679801662980346,-122.37506958854703,House,2,1.0,1.0,1.0,96.0,Seattle
